Core,,Name,1-99,100-499,500-999,1000-1999,2000-4999,,,,,,
8051,,MG51FB9AE,0.48,0.40,0.31,0.26,0.23,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,MG51FC9AE,0.62,0.52,0.40,0.33,0.30,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,MG51XB9AE,0.48,0.40,0.31,0.26,0.23,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,MG51XC9AE,0.62,0.52,0.40,0.33,0.30,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,MUG51TB9AE,1.50,1.25,0.96,0.80,0.73,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,N76E003AT20,0.30,-,-,-,-,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.00%
8051,,N76E616AL48,1.14,0.95,0.73,0.61,0.55,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,N76E885AT20,0.75,0.63,0.48,0.40,0.36,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,N76E885AT28,0.99,0.83,0.63,0.53,0.48,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,N76S003AQ20,0.22,-,-,-,-,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.00%
8051,,N76S003AT20,0.22,-,-,-,-,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.00%
8051,,N79E715AS16,0.69,0.58,0.44,0.37,0.33,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,N79E715AT20,0.66,0.55,0.42,0.35,0.32,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,N79E715AT28,0.84,0.70,0.54,0.45,0.41,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,N79E823ADG,1.44,1.20,0.92,0.77,0.70,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,N79E825ADG,1.44,1.20,0.92,0.77,0.70,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,W78E052DDG,1.74,1.45,1.11,0.93,0.84,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,W78E052DFG,1.74,1.45,1.11,0.93,0.84,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,W78E052DPG,1.74,1.45,1.11,0.93,0.84,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,W78E054DDG,1.89,1.58,1.21,1.01,0.91,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,W78E054DFG,1.89,1.58,1.21,1.01,0.91,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,W78E058DDG,2.28,1.90,1.46,1.22,1.10,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,W78E058DFG,2.28,1.90,1.46,1.22,1.10,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,W78E058DPG,2.28,1.90,1.46,1.22,1.10,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,W78E516DPG,2.52,2.10,1.61,1.34,1.22,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML51BB9AE,0.72,0.60,0.46,0.38,0.35,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML51DB9AE,0.78,0.65,0.50,0.42,0.38,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML51EB9AE,0.99,0.83,0.63,0.53,0.48,,83.33%,64.00%,53.33%,48.33%,0.00%
